timestamp height class x y
1616590497.9099107 1081.0 H 373 547
1616590497.9099107 1081.0 P 365 438
1616590497.9099107 1081.0 P 337 436
1616590497.9099107 1081.0 P 381 673
1616590497.9099107 1081.0 P 387 671
1616590497.9099107 86.0 H 994 427
1616590497.9099107 86.0 P 1046 337
1616590497.9099107 86.0 P 1005 326
1616590497.9099107 86.0 P 1072 423
1616590497.9099107 86.0 P 1069 364
1616590498.2419343 1081.0 H 383 555
1616590498.2419343 1081.0 P 351 442
1616590498.2419343 1081.0 P 326 485
1616590498.2419343 1081.0 P 348 599
1616590498.2419343 1081.0 P 399 675
1616590498.2419343 1081.0 P 407 673
1616590498.2419343 73.0 H 997 411
1616590498.2419343 73.0 P 1048 324
1616590498.2419343 73.0 P 1006 311
1616590498.2419343 73.0 P 1077 399
1616590498.2419343 73.0 P 1069 349
1616590498.5739539 1081.0 H 394 554
1616590498.5739539 1081.0 P 386 441
1616590498.5739539 1081.0 P 363 442
1616590498.5739539 1081.0 P 339 484
1616590498.5739539 1081.0 P 411 675
1616590498.5739539 71.0 H 998 409
1616590498.5739539 71.0 P 1048 322
1616590498.5739539 71.0 P 1007 310
1616590498.5739539 71.0 P 1077 398
1616590498.5739539 71.0 P 1069 347
1616590498.912495 1081.0 H 398 556
1616590498.912495 1081.0 P 370 443
1616590498.912495 1081.0 P 344 479
1616590498.912495 1081.0 P 413 677
1616590498.912495 1081.0 P 420 676
1616590498.912495 -22.0 H 998 408
1616590498.912495 -22.0 P 1048 322
1616590498.912495 -22.0 P 1008 310
1616590498.912495 -22.0 P 917 367
1616590498.912495 -22.0 P 1077 397
1616590498.912495 -22.0 P 1069 347
1616590499.2445216 138.0 H 386 555
1616590499.2445216 138.0 P 418 444
1616590499.2445216 138.0 P 379 435
1616590499.2445216 138.0 P 330 460
1616590499.2445216 138.0 P 318 551
1616590499.2445216 138.0 P 449 483
1616590499.2445216 -11.0 H 951 383
1616590499.2445216 -11.0 P 996 292
1616590499.2445216 -11.0 P 956 285
1616590499.2445216 -11.0 P 869 348
1616590499.2445216 -11.0 P 1024 376
1616590499.2445216 -11.0 P 1019 316
1616590499.5765448 1081.0 H 278 484
1616590499.5765448 1081.0 P 306 378
1616590499.5765448 1081.0 P 267 373
1616590499.5765448 1081.0 P 215 398
1616590499.5765448 1081.0 P 204 484
1616590499.5765448 1081.0 P 336 408
1616590499.5765448 -22.0 H 899 368
1616590499.5765448 -22.0 P 941 272
1616590499.5765448 -22.0 P 900 266
1616590499.5765448 -22.0 P 978 342
1616590499.5765448 -22.0 P 965 293
1616590499.8994591 1081.0 H 229 385
1616590499.8994591 1081.0 P 262 290
1616590499.8994591 1081.0 P 223 283
1616590499.8994591 1081.0 P 174 306
1616590499.8994591 1081.0 P 157 390
1616590499.8994591 1081.0 P 288 317
1616590499.8994591 86.0 H 845 365
1616590499.8994591 86.0 P 883 269
1616590499.8994591 86.0 P 844 264
1616590499.8994591 86.0 P 925 338
1616590499.8994591 86.0 P 910 292
1616590500.2471125 77.0 H 812 366
1616590500.2471125 77.0 P 846 268
1616590500.2471125 77.0 P 805 266
1616590500.2471125 77.0 P 891 337
1616590500.2471125 77.0 P 873 289
1616590500.2471125 1081.0 H 242 314
1616590500.2471125 1081.0 P 288 213
1616590500.2471125 1081.0 P 249 198
1616590500.2471125 1081.0 P 197 207
1616590500.2471125 1081.0 P 168 301
1616590500.2471125 1081.0 P 256 402
1616590500.579136 -23.0 H 745 361
1616590500.579136 -23.0 P 801 273
1616590500.579136 -23.0 P 770 257
1616590500.579136 -23.0 P 732 260
1616590500.579136 -23.0 P 822 318
1616590500.579136 -57.0 H 271 291
1616590500.579136 -57.0 P 320 192
1616590500.579136 -57.0 P 282 175
1616590500.579136 -57.0 P 229 183
1616590500.579136 -57.0 P 197 279
1616590500.579136 -57.0 P 251 390
1616590500.9020603 61.0 H 640 383
1616590500.9020603 61.0 P 667 282
1616590500.9020603 61.0 P 633 275
1616590500.9020603 61.0 P 598 290
1616590500.9020603 61.0 P 555 384
1616590500.9020603 61.0 P 703 320
1616590500.9020603 1081.0 H 272 263
1616590500.9020603 1081.0 P 327 164
1616590500.9020603 1081.0 P 288 147
1616590500.9020603 1081.0 P 234 154
1616590500.9020603 1081.0 P 279 357
1616590500.9020603 1081.0 P 350 209
1616590501.234089 77.0 H 598 439
1616590501.234089 77.0 P 556 338
1616590501.234089 77.0 P 532 433
1616590501.234089 1081.0 H 302 253
1616590501.234089 1081.0 P 362 158
1616590501.234089 1081.0 P 324 135
1616590501.234089 1081.0 P 267 141
1616590501.234089 1081.0 P 231 217
1616590501.234089 1081.0 P 274 350
1616590501.5661082 -15.0 H 608 496
1616590501.5661082 -15.0 P 559 389
1616590501.5661082 -28.0 H 342 253
1616590501.5661082 -28.0 P 401 162
1616590501.5661082 -28.0 P 362 139
1616590501.5661082 -28.0 P 307 144
1616590501.5661082 -28.0 P 272 218
1616590501.5661082 -28.0 P 419 201
1616590501.9046352 -12.0 H 730 525
1616590501.9046352 -12.0 P 702 415
1616590501.9046352 12.0 H 413 257
